tw_id,text,location,long,lat
972184670543626240,Haven?t had a fever in yearssss. Forgot how sucky this feeling is ???,"San Jose, CA",,
972173663553257472,I have puppy fever ? but I know I need to wait till I graduate,UC DAVIS,,
972172105834938368,But now Diego got the baby fever lmao??and Im Just like nair,"Hayward, CA",,
972172075845672961,"And is it any wonder that the stress weakened my immune system?

Fever, headache, chills all yesterday and last nig? https://t.co/AiqWIxglw9","San Francisco, CA",,
972171417130213376,After work I?ve bee taking care of a 8month old baby and trust me all that baby fever is gone,"Hayward, CA",,
972168943031828480,I went to bed at 7 pm and it?s like 10 am bitch FIFTEEN HOURS?! And my fever is still 102 ?,"Oakland, CA",,
972165854409383936,@frijol3s I?m legit dying at work and I think this fever comes with diarrhea,"Oakland, CA",,
972163276472770560,@lieber_fever and thatmartyparty doing core work with trxtraining #seesaw and #kneetucks? https://t.co/0w74A3BIGh,,-122.39711,37.7654686
972163113465257984,"RT @thespirit_riley: A Sector in #FeverRising, the only place Castes call home. Reserve your copy today! https://t.co/hZ8Elb76t2 https://t.?","San Diego, CA",,
972161015994445824,Anyone want to bet with me that FEVER DREAM by Samantha Schweblin will win the @TheMorningNews #TournamentOfBooks t? https://t.co/q489klrMhd,"San Francisco, CA",,
972154241446920192,"A Sector in #FeverRising, the only place Castes call home. Reserve your copy today! https://t.co/hZ8Elb76t2 https://t.co/HecaSI65RW",San Francisco,,
972148842417201152,"RT @Hulk_gg: ? AWP | Fever Dream [FN] ? Giveaway #CSGOGiveaway 

?Retweet + Like
?Tag a Giveaway Hunter 

-Enter Via Gleam: https://t.co/Vi?",,,
972145016520019974,"What if someone told you they could cure your pesky hay fever? Enter THE ALLERGY SOLUTION, to the rescue:? https://t.co/eMUjW71GpK","San Francisco, CA",,
972143105695653888,@onlyedip @jmgvillanueva guys i have baby fever. make it stop. ?,"Sacramento, CA",,
972140256962125824,"RT @Hulk_gg: ? AWP | Fever Dream [FN] ? Giveaway #CSGOGiveaway 

?Retweet + Like
?Tag a Giveaway Hunter 

-Enter Via Gleam: https://t.co/Vi?",Thailand,,
972138210603163648,"I have fever, headache, stomach is in pain.. what?s goin on w me?","Sacramento, CA",,
972137868091998213,"RT @Hulk_gg: ? AWP | Fever Dream [FN] ? Giveaway #CSGOGiveaway 

?Retweet + Like
?Tag a Giveaway Hunter 

-Enter Via Gleam: https://t.co/Vi?",,,
972137140350889986,I'm going to go to the doctors as I have a low grade fever and my throat feels like I'm swallowing tacks. I probabl? https://t.co/GVYA3sHkuG,"Vacaville, CA",,
972133898015539201,"RT @Hulk_gg: ? AWP | Fever Dream [FN] ? Giveaway #CSGOGiveaway 

?Retweet + Like
?Tag a Giveaway Hunter 

-Enter Via Gleam: https://t.co/Vi?",,,
972133631173914624,It never fails that I always catch a fever after a tat session.,"Oakland, CA",,
